Loaded 873 existing candidates (50 passing)

=== mochajs/mocha ===
  fetched 800 failed runs
    cfaae85 -> dbcfb75 [fail(no_prod_file)] - 
    71ab865 -> 437f499 [fail(log_unavailable)] lib/helpers/resolveConfig.js 
    7cab5c1 -> 55d3c62 [fail(multi_prod_file)] - 
    586faf2 -> 437f499 [fail(log_unavailable)] lib/helpers/resolveConfig.js 
    dd42205 -> 7f7a139 [fail(multi_prod_file)] - 
    90546a5 -> 7f7a139 [fail(multi_prod_file)] - 
    f49fffa -> f49fffa [fail(same_sha_rerun)] - 
    dd09f4f -> 7f7a139 [fail(multi_prod_file)] - 
    9f885b3 -> 9f885b3 [fail(same_sha_rerun)] - 
    e8a924a -> c2df551 [fail(log_unavailable)] lib/core/AxiosHeaders.js 
    1b39e37 -> 437f499 [fail(log_unavailable)] lib/helpers/resolveConfig.js 
    58283cf -> 266c7b9 [fail(multi_prod_file)] - 
    5bee4fc -> 1826ea4 [fail(multi_prod_file)] - 
    967e92a -> 34436bc [fail(log_unavailable)] lib/core/buildFullPath.js 
    96ccd11 -> c2df551 [fail(log_unavailable)] lib/core/AxiosHeaders.js 
    99e2890 -> c2df551 [fail(log_unavailable)] lib/core/AxiosHeaders.js 
    349130e -> 34436bc [fail(log_unavailable)] lib/core/buildFullPath.js 
  kept=0 (out of 88 evaluated)
  -- total kept so far: 50

=== prettier/prettier ===
  fetched 800 failed runs
  363 new unique failing SHAs
  266 pairs have a next-passing run
    497db41 -> b58daeb [fail(no_prod_file)] - 
    336c5a8 -> fd17127 [fail(no_prod_file)] - 
    b1096d3 -> 0f1be51 [fail(no_prod_file)] - 
    fd17127 -> 0f1be51 [fail(no_prod_file)] - 
    de75320 -> 0f1be51 [fail(no_prod_file)] - 
    cb10306 -> fd17127 [fail(no_prod_file)] - 
    3dd8b46 -> 0f1be51 [fail(no_prod_file)] - 
    c0b1577 -> 0f1be51 [fail(no_prod_file)] - 
    d83170c -> fd17127 [fail(no_prod_file)] - 
    96596de -> a991575 [fail(too_many_commits(99))] - 
    a73cae1 -> 70a1447 [fail(no_prod_file)] - 
    ce5de02 -> fd17127 [fail(too_many_commits(9))] - 
    3ac9b23 -> 0f1be51 [fail(too_many_commits(11))] - 
    e397b8b -> 45d81bc [fail(too_many_commits(11))] - 
